Bin Start,Accumulated Count
-inf ms,0
4.183808ms,1
4.197385557725445ms,1
4.21096311545089ms,1
4.224540673176335ms,3
4.23811823090178ms,3
4.2516957886272255ms,4
4.265273346352671ms,6
4.278850904078116ms,13
4.292428461803561ms,21
4.306006019529006ms,30
4.319583577254451ms,53
4.333161134979896ms,78
4.346738692705342ms,106
4.360316250430787ms,148
4.373893808156232ms,202
4.3874713658816775ms,279
4.401048923607123ms,392
4.414626481332568ms,516
4.428204039058013ms,674
4.441781596783458ms,871
4.455359154508903ms,1138
4.468936712234348ms,1439
4.482514269959793ms,1836
4.496091827685238ms,2339
4.5096693854106835ms,2923
4.523246943136129ms,3594
4.536824500861574ms,4412
4.550402058587019ms,5327
4.563979616312464ms,6394
4.577557174037909ms,7617
4.591134731763354ms,8932
4.604712289488799ms,10422
4.618289847214244ms,12180
4.6318674049396895ms,14119
4.645444962665135ms,16195
4.65902252039058ms,18498
4.672600078116025ms,20841
4.686177635841471ms,23511
4.699755193566915ms,26359
4.713332751292361ms,29260
4.726910309017806ms,32209
4.740487866743251ms,35334
4.754065424468696ms,38533
4.7676429821941415ms,41724
4.781220539919587ms,45030
4.794798097645032ms,48294
4.808375655370477ms,51513
4.821953213095922ms,54889
4.835530770821367ms,58366
4.849108328546812ms,61771
4.862685886272257ms,65278
4.876263443997702ms,68678
4.8898410017231475ms,72254
4.903418559448593ms,75971
4.916996117174038ms,79717
4.930573674899483ms,83600
4.944151232624928ms,87772
4.957728790350373ms,92204
4.971306348075818ms,96976
4.984883905801263ms,102210
4.998461463526709ms,107907
5.0120390212521535ms,114006
5.0256165789775995ms,120451
5.039194136703045ms,127300
5.05277169442849ms,134764
5.066349252153935ms,142618
5.07992680987938ms,150908
5.093504367604825ms,159557
5.10708192533027ms,168672
5.120659483055715ms,178041
5.13423704078116ms,187709
5.1478145985066055ms,197536
5.161392156232051ms,207692
5.174969713957496ms,217882
5.188547271682941ms,227992
5.202124829408386ms,238173
5.215702387133831ms,248490
5.229279944859276ms,258643
5.242857502584721ms,268584
5.256435060310166ms,278194
5.2700126180356115ms,288080
5.283590175761057ms,297624
5.297167733486502ms,306832
5.310745291211948ms,315924
5.324322848937392ms,324854
5.337900406662838ms,333638
5.351477964388282ms,342209
5.365055522113728ms,350667
5.378633079839172ms,358795
5.392210637564618ms,367040
5.4057881952900635ms,375360
5.419365753015509ms,383605
5.432943310740954ms,391958
5.446520868466399ms,400320
5.460098426191844ms,409012
5.473675983917289ms,417901
5.487253541642734ms,426953
5.500831099368179ms,436193
5.514408657093624ms,445613
5.5279862148190695ms,455590
5.541563772544515ms,465870
5.55514133026996ms,476399
5.568718887995405ms,487152
5.58229644572085ms,498303
5.595874003446295ms,509662
5.60945156117174ms,521299
5.623029118897185ms,532849
5.63660667662263ms,545095
5.650184234348076ms,557316
5.663761792073521ms,569754
5.677339349798967ms,581854
5.690916907524411ms,594145
5.704494465249857ms,606411
5.718072022975302ms,618195
5.731649580700747ms,629658
5.745227138426192ms,641035
5.758804696151637ms,652223
5.772382253877082ms,663424
5.7859598116025275ms,674234
5.799537369327973ms,684612
5.813114927053418ms,694717
5.826692484778863ms,704517
5.840270042504308ms,713952
5.853847600229753ms,723013
5.867425157955198ms,731513
5.881002715680643ms,740074
5.894580273406088ms,748347
5.9081578311315335ms,756370
5.921735388856979ms,764106
5.935312946582424ms,771717
5.948890504307869ms,778894
5.962468062033314ms,785831
5.976045619758759ms,792481
5.989623177484205ms,799075
6.003200735209649ms,805235
6.016778292935095ms,811294
6.0303558506605395ms,817208
6.0439334083859855ms,822849
6.057510966111431ms,828393
6.071088523836876ms,833807
6.084666081562321ms,839200
6.098243639287766ms,844457
6.111821197013211ms,849787
6.125398754738656ms,855153
6.138976312464101ms,860520
6.152553870189546ms,865916
6.1661314279149915ms,871307
6.179708985640437ms,876574
6.193286543365882ms,881929
6.206864101091327ms,887168
6.220441658816772ms,892541
6.234019216542217ms,897769
6.247596774267662ms,902957
6.261174331993107ms,908148
6.274751889718553ms,913293
6.2883294474439975ms,918175
6.3019070051694435ms,922912
6.315484562894888ms,927635
6.329062120620334ms,932193
6.342639678345778ms,936586
